epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,363.841,3.61799,0.31107,0.59932,2.78725,6.125e-05,6.125e-05,6.125e-05
2,722.68,2.30793,0.56551,0.83516,1.67485,0.000116832,0.000116832,0.000116832
3,1084.69,1.55244,0.68216,0.89687,1.25099,0.00016631,0.00016631,0.00016631
4,1439.34,1.15473,0.71006,0.92392,1.07507,0.000157528,0.000157528,0.000157528
5,1747.89,0.87894,0.73373,0.9366,0.9577,0.00014837,0.00014837,0.00014837
6,2018.27,0.71221,0.75571,0.94421,0.88365,0.000139212,0.000139212,0.000139212
7,2287.3,0.58748,0.75909,0.94844,0.84148,0.000130055,0.000130055,0.000130055
8,2554.42,0.50289,0.7743,0.95013,0.82099,0.000120897,0.000120897,0.000120897
9,2821.76,0.41021,0.77515,0.95182,0.80144,0.00011174,0.00011174,0.00011174
10,3088.86,0.37687,0.77937,0.95097,0.81423,0.000102582,0.000102582,0.000102582
11,3353.08,0.32303,0.77599,0.9459,0.80522,9.3425e-05,9.3425e-05,9.3425e-05
12,3617.29,0.28459,0.7836,0.94759,0.77927,8.42675e-05,8.42675e-05,8.42675e-05
13,3881.46,0.26182,0.79882,0.95858,0.76127,7.511e-05,7.511e-05,7.511e-05
14,4145.39,0.23614,0.78783,0.95858,0.75194,6.59525e-05,6.59525e-05,6.59525e-05
15,4412.61,0.21392,0.80135,0.95773,0.75763,5.6795e-05,5.6795e-05,5.6795e-05
16,4675.33,0.18579,0.80304,0.95689,0.75178,4.76375e-05,4.76375e-05,4.76375e-05
17,4937.86,0.16674,0.80135,0.95858,0.75731,3.848e-05,3.848e-05,3.848e-05
18,5200.72,0.15961,0.81488,0.95943,0.74266,2.93225e-05,2.93225e-05,2.93225e-05
19,5467.69,0.16681,0.81065,0.95858,0.72283,2.0165e-05,2.0165e-05,2.0165e-05
20,5733.89,0.15435,0.80981,0.95773,0.71016,1.10075e-05,1.10075e-05,1.10075e-05
